"precincts","tally_type","ballotID","rank1","rank2","rank3"
"1139","VBM / EV - 400c 1st Cut",47418,"ED LEE","TONY HALL","MICHELA ALIOTO-PIER"
"2713/2712","VBM / EV - 400c 1st Cut",47419,"ED LEE","MICHELA ALIOTO-PIER","DAVID CHIU"
"3316","VBM / EV - 400c 1st Cut",47420,"ED LEE","skipped","skipped"
"3322/3323","VBM / EV - 400c 1st Cut",47421,"ED LEE","DAVID CHIU","BEVAN DUFTY"
"3821/3819","VBM / EV - 400c 1st Cut",47422,"DENNIS HERRERA","DAVID CHIU","JEFF ADACHI"
"3854/3858","VBM / EV - 400c 1st Cut",47423,"JOHN AVALOS","BEVAN DUFTY","LELAND YEE"
"2725","VBM / EV - 400c 1st Cut",47424,"ED LEE","skipped","skipped"
"2729/2731","VBM / EV - 400c 1st Cut",47425,"JOANNA REES","MICHELA ALIOTO-PIER","MICHELA ALIOTO-PIER"
"2733/2749","VBM / EV - 400c 1st Cut",47426,"ED LEE","LELAND YEE","PHIL TING"
"3321","VBM / EV - 400c 1st Cut",47427,"BEVAN DUFTY","MICHELA ALIOTO-PIER","LELAND YEE"
"3835","VBM / EV - 400c 1st Cut",47428,"JEFF ADACHI","skipped","skipped"
"3935","VBM / EV - 400c 1st Cut",47429,"DENNIS HERRERA","BEVAN DUFTY","MICHELA ALIOTO-PIER"
"3013/3018","VBM / EV - 400c 1st Cut",47430,"DENNIS HERRERA","DENNIS HERRERA","DENNIS HERRERA"
"3506","VBM / EV - 400c 1st Cut",47431,"ED LEE","WILMA PANG","JOANNA REES"
"3507","VBM / EV - 400c 1st Cut",47432,"ED LEE","WILMA PANG","DAVID CHIU"
"3823/3822","VBM / EV - 400c 1st Cut",47433,"ED LEE","MICHELA ALIOTO-PIER","DAVID CHIU"
"3829","VBM / EV - 400c 1st Cut",47434,"BEVAN DUFTY","MICHELA ALIOTO-PIER","ED LEE"
"2713/2712","VBM / EV - 400c 1st Cut",47435,"PHIL TING","JEFF ADACHI","DAVID CHIU"
"2014/2011","VBM / EV - 400c 1st Cut",47436,"ED LEE","DAVID CHIU","BEVAN DUFTY"
"2014/2011","VBM / EV - 400c 1st Cut",47437,"JEFF ADACHI","EMIL LAWRENCE","CESAR ASCARRUNZ"
"2212/2211","VBM / EV - 400c 1st Cut",47438,"JOANNA REES","JOANNA REES","JOANNA REES"
"2729/2731","VBM / EV - 400c 1st Cut",47439,"ED LEE","ED LEE","ED LEE"
"3209/3211","VBM / EV - 400c 1st Cut",47440,"TONY HALL","skipped","skipped"
"3608","VBM / EV - 400c 1st Cut",47441,"JOHN AVALOS","DENNIS HERRERA","EMIL LAWRENCE"
"2014/2011","VBM / EV - 400c 1st Cut",47442,"ED LEE","DAVID CHIU","skipped"
"1142/1141","VBM / EV - 400c 1st Cut",47443,"ED LEE","PHIL TING","DAVID CHIU"
"1142/1141","VBM / EV - 400c 1st Cut",47444,"JEFF ADACHI","LELAND YEE","TONY HALL"
"2451/2445","VBM / EV - 400c 1st Cut",47445,"ED LEE","skipped","skipped"
"2126","VBM / EV - 400c 1st Cut",47446,"DAVID CHIU","ED LEE","LELAND YEE"
"2126","VBM / EV - 400c 1st Cut",47447,"ED LEE","skipped","skipped"
"3309","VBM / EV - 400c 1st Cut",47448,"JEFF ADACHI","JEFF ADACHI","JEFF ADACHI"
"3236/3232","VBM / EV - 400c 1st Cut",47449,"ED LEE","DAVID CHIU","JEFF ADACHI"
"3630/3636","VBM / EV - 400c 1st Cut",47450,"DENNIS HERRERA","BEVAN DUFTY","LELAND YEE"
"2014/2011","VBM / EV - 400c 1st Cut",47451,"LELAND YEE","JOHN AVALOS","DENNIS HERRERA"
"3207/3202","VBM / EV - 400c 1st Cut",47452,"JOANNA REES","ED LEE","JOHN AVALOS"
"2004/2003","VBM / EV - 400c 1st Cut",47453,"ED LEE","DAVID CHIU","TONY HALL"
"2415/2416","VBM / EV - 400c 1st Cut",47454,"TERRY JOAN BAUM","JOHN AVALOS","skipped"
"2703","VBM / EV - 400c 1st Cut",47455,"BEVAN DUFTY","DENNIS HERRERA","JOHN AVALOS"
"3640","VBM / EV - 400c 1st Cut",47456,"DENNIS HERRERA","DAVID CHIU","BEVAN DUFTY"
"1117","VBM / EV - 400c 1st Cut",47457,"JOHN AVALOS","JOHN AVALOS","JOHN AVALOS"
"2707","VBM / EV - 400c 1st Cut",47458,"LELAND YEE","skipped","skipped"
"2725","VBM / EV - 400c 1st Cut",47459,"MICHELA ALIOTO-PIER","JEFF ADACHI","TONY HALL"
"3336/3344","VBM / EV - 400c 1st Cut",47460,"ED LEE","DAVID CHIU","LELAND YEE"
"3336/3344","VBM / EV - 400c 1st Cut",47461,"ED LEE","skipped","skipped"
"3928/3929","VBM / EV - 400c 1st Cut",47462,"JOANNA REES","JOANNA REES","JOANNA REES"
"2502","VBM / EV - 400c 1st Cut",47463,"DENNIS HERRERA","LELAND YEE","MICHELA ALIOTO-PIER"
"2148/2149","VBM / EV - 400c 1st Cut",47464,"LELAND YEE","TERRY JOAN BAUM","skipped"
"2746/2732","VBM / EV - 400c 1st Cut",47465,"JEFF ADACHI","MICHELA ALIOTO-PIER","TONY HALL"
"3009","VBM / EV - 400c 1st Cut",47466,"ED LEE","JOHN AVALOS","BEVAN DUFTY"
"3023/3017","VBM / EV - 400c 1st Cut",47467,"JOHN AVALOS","LELAND YEE","LELAND YEE"
"3332/3331","VBM / EV - 400c 1st Cut",47468,"JOANNA REES","DENNIS HERRERA","TONY HALL"
"2207/2213","VBM / EV - 400c 1st Cut",47469,"MICHELA ALIOTO-PIER","DENNIS HERRERA","JEFF ADACHI"
"2433/2434","VBM / EV - 400c 1st Cut",47470,"ED LEE","skipped","skipped"
"3023/3017","VBM / EV - 400c 1st Cut",47471,"JOHN AVALOS","DENNIS HERRERA","MICHELA ALIOTO-PIER"
"3236/3232","VBM / EV - 400c 1st Cut",47472,"ED LEE","skipped","skipped"
"3322/3323","VBM / EV - 400c 1st Cut",47473,"ED LEE","DAVID CHIU","LELAND YEE"
"3902","VBM / EV - 400c 1st Cut",47474,"DENNIS HERRERA","JOHN AVALOS","LELAND YEE"
"2119/2118","VBM / EV - 400c 1st Cut",47475,"ED LEE","JOHN AVALOS","TONY HALL"
"3836","VBM / EV - 400c 1st Cut",47476,"ED LEE","DENNIS HERRERA","LELAND YEE"
"3928/3929","VBM / EV - 400c 1st Cut",47477,"DAVID CHIU","BEVAN DUFTY","JEFF ADACHI"
"2431/2432","VBM / EV - 400c 1st Cut",47478,"JEFF ADACHI","LELAND YEE","DAVID CHIU"
"2431/2432","VBM / EV - 400c 1st Cut",47479,"skipped","skipped","skipped"
"2431/2432","VBM / EV - 400c 1st Cut",47480,"ED LEE","skipped","skipped"
"2433/2434","VBM / EV - 400c 1st Cut",47481,"ED LEE","JEFF ADACHI","DAVID CHIU"
"2705/2704","VBM / EV - 400c 1st Cut",47482,"ED LEE","DAVID CHIU","PHIL TING"
"3003","VBM / EV - 400c 1st Cut",47483,"JOHN AVALOS","DENNIS HERRERA","ED LEE"
"3343/3334","VBM / EV - 400c 1st Cut",47484,"ED LEE","DAVID CHIU","DENNIS HERRERA"
"3504/3503","VBM / EV - 400c 1st Cut",47485,"JEFF ADACHI","skipped","skipped"
"3544/3545","VBM / EV - 400c 1st Cut",47486,"JOHN AVALOS","LELAND YEE","DENNIS HERRERA"
"3554","VBM / EV - 400c 1st Cut",47487,"DENNIS HERRERA","DENNIS HERRERA","DENNIS HERRERA"
"3608","VBM / EV - 400c 1st Cut",47488,"JEFF ADACHI","DAVID CHIU","ED LEE"
"3639","VBM / EV - 400c 1st Cut",47489,"LELAND YEE","DENNIS HERRERA","ED LEE"
"3911","VBM / EV - 400c 1st Cut",47490,"JOHN AVALOS","BEVAN DUFTY","DENNIS HERRERA"
"1116/1115","VBM / EV - 400c 1st Cut",47491,"ED LEE","JEFF ADACHI","WILMA PANG"
"1133","VBM / EV - 400c 1st Cut",47492,"DAVID CHIU","ED LEE","WILMA PANG"
"3302/3306","VBM / EV - 400c 1st Cut",47493,"DENNIS HERRERA","skipped","skipped"
"3552/3549","VBM / EV - 400c 1st Cut",47494,"LELAND YEE","MICHELA ALIOTO-PIER","DENNIS HERRERA"
"2734","VBM / EV - 400c 1st Cut",47495,"JEFF ADACHI","MICHELA ALIOTO-PIER","ED LEE"
"3228/3219","VBM / EV - 400c 1st Cut",47496,"BEVAN DUFTY","DENNIS HERRERA","PHIL TING"
"2447","VBM / EV - 400c 1st Cut",47497,"LELAND YEE","PHIL TING","TERRY JOAN BAUM"
"2447","VBM / EV - 400c 1st Cut",47498,"TONY HALL","LELAND YEE","JOANNA REES"
"2511/2508","VBM / EV - 400c 1st Cut",47499,"ED LEE","LELAND YEE","MICHELA ALIOTO-PIER"
"3311/3329","VBM / EV - 400c 1st Cut",47500,"TONY HALL","ED LEE","JOANNA REES"
"1112/1111","VBM / EV - 400c 1st Cut",47501,"ED LEE","skipped","skipped"
"2728","VBM / EV - 400c 1st Cut",47502,"ED LEE","DAVID CHIU","PHIL TING"
"2759","VBM / EV - 400c 1st Cut",47503,"LELAND YEE","MICHELA ALIOTO-PIER","JOHN AVALOS"
"3318/3319","VBM / EV - 400c 1st Cut",47504,"ED LEE","DAVID CHIU","MICHELA ALIOTO-PIER"
"3513/3514","VBM / EV - 400c 1st Cut",47505,"ED LEE","DENNIS HERRERA","DAVID CHIU"
"3627","VBM / EV - 400c 1st Cut",47506,"ED LEE","DAVID CHIU","JEFF ADACHI"
"2426/2425","VBM / EV - 400c 1st Cut",47507,"ED LEE","DAVID CHIU","skipped"
"2902/2906","VBM / EV - 400c 1st Cut",47508,"ED LEE","DAVID CHIU","LELAND YEE"
"3638","VBM / EV - 400c 1st Cut",47509,"ED LEE","DAVID CHIU","PHIL TING"
"3918","VBM / EV - 400c 1st Cut",47510,"MICHELA ALIOTO-PIER","skipped","skipped"
"1109/1103","VBM / EV - 400c 1st Cut",47511,"TONY HALL","LELAND YEE","CESAR ASCARRUNZ"
"1112/1111","VBM / EV - 400c 1st Cut",47512,"ED LEE","DAVID CHIU","JEFF ADACHI"
"3917","VBM / EV - 400c 1st Cut",47513,"JOHN AVALOS","DAVID CHIU","JEFF ADACHI"
"2111/2106","VBM / EV - 400c 1st Cut",47514,"ED LEE","DAVID CHIU","LELAND YEE"
"2111/2106","VBM / EV - 400c 1st Cut",47515,"JEFF ADACHI","BEVAN DUFTY","JOANNA REES"
"2141/2142","VBM / EV - 400c 1st Cut",47516,"ED LEE","TONY HALL","DAVID CHIU"
"2143","VBM / EV - 400c 1st Cut",47517,"DENNIS HERRERA","JOHN AVALOS","JOANNA REES"
"2147","VBM / EV - 400c 1st Cut",47518,"ED LEE","DAVID CHIU","LELAND YEE"
"3626","VBM / EV - 400c 1st Cut",47519,"ED LEE","JOHN AVALOS","LELAND YEE"
"3828/3838","VBM / EV - 400c 1st Cut",47520,"ED LEE","skipped","skipped"
"3931","VBM / EV - 400c 1st Cut",47521,"ED LEE","JEFF ADACHI","DAVID CHIU"
"3013/3018","VBM / EV - 400c 1st Cut",47522,"ED LEE","PHIL TING","JEFF ADACHI"
"3235/3231","VBM / EV - 400c 1st Cut",47523,"MICHELA ALIOTO-PIER","DENNIS HERRERA","ED LEE"
"3854/3858","VBM / EV - 400c 1st Cut",47524,"JEFF ADACHI","JEFF ADACHI","ED LEE"
"2141/2142","VBM / EV - 400c 1st Cut",47525,"TONY HALL","TONY HALL","TONY HALL"
"2904/2903","VBM / EV - 400c 1st Cut",47526,"JOHN AVALOS","PHIL TING","LELAND YEE"
"2904/2903","VBM / EV - 400c 1st Cut",47527,"ED LEE","skipped","skipped"
"3643","VBM / EV - 400c 1st Cut",47528,"DAVID CHIU","ED LEE","skipped"
"3651/3611","VBM / EV - 400c 1st Cut",47529,"DENNIS HERRERA","JOHN AVALOS","ED LEE"
"1123/1122","VBM / EV - 400c 1st Cut",47530,"ED LEE","DAVID CHIU","LELAND YEE"
"2016/2017","VBM / EV - 400c 1st Cut",47531,"ED LEE","DAVID CHIU","LELAND YEE"
"2101/2102","VBM / EV - 400c 1st Cut",47532,"JOHN AVALOS","BEVAN DUFTY","ED LEE"
"3534/3548","VBM / EV - 400c 1st Cut",47533,"ED LEE","DENNIS HERRERA","LELAND YEE"
"3543","VBM / EV - 400c 1st Cut",47534,"JEFF ADACHI","DENNIS HERRERA","JOHN AVALOS"
"3238/3237","VBM / EV - 400c 1st Cut",47535,"DAVID CHIU","DENNIS HERRERA","ED LEE"
"3872","VBM / EV - 400c 1st Cut",47536,"JOANNA REES","WILMA PANG","TERRY JOAN BAUM"
"3872","VBM / EV - 400c 1st Cut",47537,"JOHN AVALOS","DENNIS HERRERA","skipped"
"3903/3901","VBM / EV - 400c 1st Cut",47538,"JOHN AVALOS","DENNIS HERRERA","skipped"
