"Precinct","rank1","rank2","rank3"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","skipped"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","skipped"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","skipped"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","skipped"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","skipped"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","skipped"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","skipped"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","skipped"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","skipped"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","skipped"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","skipped"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","skipped"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","skipped"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","Sheila Nezhad"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","Sheila Nezhad"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","Sheila Nezhad"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","Sheila Nezhad"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","Sheila Nezhad"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","Sheila Nezhad"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","Sheila Nezhad"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","Sheila Nezhad"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","Sheila Nezhad"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","Sheila Nezhad"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","Sheila Nezhad"
