RowNumber,Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,Choice_6
58761,Nat West,Marnie Glickman,Tiffani Penson,,,
58764,Elana Pirtle-Guiney,Nat West,,,,
58765,Michelle DePass,Elana Pirtle-Guiney,Tiffani Penson,Mariah Hudson,Marnie Glickman,Dan Ryan
58766,Nat West,Sameer Kanal,Jonathan Tasini,Marnie Glickman,Michael (Mike) Marshall,Michelle DePass
58775,Dan Ryan,Tiffani Penson,Michelle DePass,Nat West,,
58823,Bob Simril,Michael (Mike) Marshall,Sameer Kanal,,,
58824,Elana Pirtle-Guiney,Dan Ryan,Michelle DePass,James Armstrong,Mariah Hudson,Michael (Mike) Marshall
58826,Dan Ryan,Mariah Hudson,Bob Simril,Michael (Mike) Marshall,,
58828,Elana Pirtle-Guiney,Dan Ryan,Michelle DePass,,,
58829,Tiffani Penson,Debbie Kitchin,Nat West,Elana Pirtle-Guiney,Nabil Zaghloul,Mariah Hudson
58831,Tiffani Penson,Nat West,Elana Pirtle-Guiney,Bob Simril,Dan Ryan,Sam Sachs
58832,Jennifer Park,Sameer Kanal,Michelle DePass,Jonathan Tasini,Dan Ryan,Mariah Hudson
58839,Dan Ryan,Jonathan Tasini,Tiffani Penson,Bob Simril,Elana Pirtle-Guiney,Nat West
58840,Michelle DePass,Sameer Kanal,Tiffani Penson,Nat West,Michael (Mike) Marshall,Sam Sachs
58841,Bob Simril,Elana Pirtle-Guiney,Dan Ryan,Tiffani Penson,Michelle DePass,Marnie Glickman
58844,Elana Pirtle-Guiney,Dan Ryan,Tiffani Penson,Michelle DePass,Mariah Hudson,Michael (Mike) Marshall
58845,Elana Pirtle-Guiney,Michelle DePass,James Armstrong,Nat West,Michael (Mike) Marshall,Marnie Glickman
58846,Tiffani Penson,Sameer Kanal,Elana Pirtle-Guiney,Jonathan Tasini,Nabil Zaghloul,Reuben Berlin
58847,Dan Ryan,Elana Pirtle-Guiney,Michelle DePass,James Armstrong,,
58848,Dan Ryan,Mariah Hudson,Nabil Zaghloul,Elana Pirtle-Guiney,Tiffani Penson,
58849,Sameer Kanal,Michelle DePass,Jonathan Tasini,Jennifer Park,Nat West,Marnie Glickman
58854,Nat West,Elana Pirtle-Guiney,Michelle DePass,Dan Ryan,Marnie Glickman,
58855,Elana Pirtle-Guiney,Dan Ryan,Michelle DePass,James Armstrong,Michael (Mike) Marshall,Mariah Hudson
58856,Dan Ryan,Nabil Zaghloul,Mariah Hudson,Bob Simril,Tiffani Penson,Jennifer Park
58868,Sameer Kanal,Michelle DePass,Nat West,Tiffani Penson,Marnie Glickman,Jonathan Tasini
58869,Dan Ryan,Elana Pirtle-Guiney,Tiffani Penson,Nat West,Michelle DePass,
58870,Mariah Hudson,Debbie Kitchin,Dan Ryan,Tiffani Penson,Michael (Mike) Marshall,Marnie Glickman
58874,Elana Pirtle-Guiney,Dan Ryan,Michelle DePass,James Armstrong,Michael (Mike) Marshall,Mariah Hudson
58876,Marnie Glickman,Bob Simril,Debbie Kitchin,Sameer Kanal,James Armstrong,Dan Ryan
58877,Marnie Glickman,Debbie Kitchin,Jonathan Tasini,Jennifer Park,Michael (Mike) Marshall,
58878,Dan Ryan,Elana Pirtle-Guiney,Bob Simril,Nat West,Tiffani Penson,Debbie Kitchin
58881,Elana Pirtle-Guiney,Michelle DePass,Tiffani Penson,Dan Ryan,Marnie Glickman,Sameer Kanal
58883,Sameer Kanal,Michelle DePass,Jonathan Tasini,Marnie Glickman,Jennifer Park,Nabil Zaghloul
58886,Bob Simril,Tiffani Penson,Elana Pirtle-Guiney,Dan Ryan,,
58888,James Armstrong,Tiffani Penson,Jennifer Park,Elana Pirtle-Guiney,Nat West,Chris Olson
58894,Mariah Hudson,Nat West,,,,
58896,Dan Ryan,Nat West,Tiffani Penson,,,
58900,Michelle DePass,Sameer Kanal,Bob Simril,Marnie Glickman,Michael (Mike) Marshall,Elana Pirtle-Guiney
58902,Nat West,Nabil Zaghloul,Dan Ryan,,,
58904,Dan Ryan,Nat West,James Armstrong,Sameer Kanal,,
58905,Bob Simril,,,,,
58909,Dan Ryan,Michael (Mike) Marshall,Mariah Hudson,Marnie Glickman,Tiffani Penson,Nabil Zaghloul
58910,Dan Ryan,Tiffani Penson,Elana Pirtle-Guiney,Marnie Glickman,Michelle DePass,Mariah Hudson
58911,Dan Ryan,Nabil Zaghloul,Tiffani Penson,Mariah Hudson,Michael (Mike) Marshall,Debbie Kitchin
58912,Bob Simril,Elana Pirtle-Guiney,,,,
58913,Bob Simril,Elana Pirtle-Guiney,,,,
58916,Elana Pirtle-Guiney,Dan Ryan,Michelle DePass,,,
58917,Mariah Hudson,Nat West,Michelle DePass,Chris Olson,Elana Pirtle-Guiney,Jennifer Park
58920,Mariah Hudson,Dan Ryan,Tiffani Penson,Elana Pirtle-Guiney,Bob Simril,
58921,Michelle DePass,Dan Ryan,,,,
58922,Elana Pirtle-Guiney,Tiffani Penson,Jonathan Tasini,Nat West,Sameer Kanal,
58925,Elana Pirtle-Guiney,Dan Ryan,Michelle DePass,Tiffani Penson,,
58926,Elana Pirtle-Guiney,Dan Ryan,Michelle DePass,James Armstrong,Michael (Mike) Marshall,Mariah Hudson
58927,Bob Simril,Michael (Mike) Marshall,Sameer Kanal,,,
58928,Tiffani Penson,Elana Pirtle-Guiney,Dan Ryan,Nat West,Bob Simril,Mariah Hudson
58929,Mariah Hudson,Tiffani Penson,Dan Ryan,Jennifer Park,,
58930,Mariah Hudson,Tiffani Penson,Dan Ryan,Elana Pirtle-Guiney,,
58934,Nat West,Marnie Glickman,Sameer Kanal,Jonathan Tasini,Michelle DePass,Michael (Mike) Marshall
58935,Nabil Zaghloul,Michelle DePass,Nat West,Marnie Glickman,Bob Simril,Will Mespelt
58937,Dan Ryan,Nat West,Tiffani Penson,,,
58939,Elana Pirtle-Guiney,Dan Ryan,Nabil Zaghloul,Michelle DePass,Sameer Kanal,Laura Streib
58940,Tiffani Penson,Sameer Kanal,Nat West,Elana Pirtle-Guiney,Mariah Hudson,Marnie Glickman
58941,Tiffani Penson,Elana Pirtle-Guiney,Michael (Mike) Marshall,Nat West,,
58944,Will Mespelt,Michael (Mike) Marshall,Laura Streib,Nabil Zaghloul,Bob Simril,Liz Taylor
58948,Dan Ryan,Tiffani Penson,Mariah Hudson,Elana Pirtle-Guiney,Michael (Mike) Marshall,Debbie Kitchin
58949,Dan Ryan,Nat West,Debbie Kitchin,Tiffani Penson,,
58953,Tiffani Penson,Dan Ryan,Michelle DePass,Elana Pirtle-Guiney,Michael (Mike) Marshall,Nabil Zaghloul
58954,Mariah Hudson,Elana Pirtle-Guiney,Dan Ryan,Jonathan Tasini,Marnie Glickman,Tiffani Penson
58955,Elana Pirtle-Guiney,Dan Ryan,Michelle DePass,Tiffani Penson,Michael (Mike) Marshall,Mariah Hudson
58956,Jonathan Tasini,Nat West,Mariah Hudson,Michael (Mike) Marshall,Sameer Kanal,Tiffani Penson
58957,Tiffani Penson,Dan Ryan,Michelle DePass,Elana Pirtle-Guiney,Mariah Hudson,Nat West
58958,Tiffani Penson,Michelle DePass,Elana Pirtle-Guiney,,,
58959,Tiffani Penson,Elana Pirtle-Guiney,Michelle DePass,,,
58960,Bob Simril,Dan Ryan,Tiffani Penson,Mariah Hudson,Elana Pirtle-Guiney,
58963,Mariah Hudson,James Armstrong,Bob Simril,Will Mespelt,Michael (Mike) Marshall,Nat West
58967,Reuben Berlin,Will Mespelt,,,,
58968,Jennifer Park,Marnie Glickman,Debbie Kitchin,Chris Olson,,
58971,Elana Pirtle-Guiney,James Armstrong,Dan Ryan,Michael (Mike) Marshall,Sameer Kanal,Nabil Zaghloul
58972,Tiffani Penson,Dan Ryan,Michelle DePass,Elana Pirtle-Guiney,Sameer Kanal,Mariah Hudson
58973,Elana Pirtle-Guiney,Dan Ryan,Michelle DePass,,,
58975,Elana Pirtle-Guiney,Marnie Glickman,Michael (Mike) Marshall,Sameer Kanal,Jennifer Park,Debbie Kitchin
58976,James Armstrong,Bob Simril,Dan Ryan,Nabil Zaghloul,Jennifer Park,Elana Pirtle-Guiney
58977,Elana Pirtle-Guiney,Marnie Glickman,Michael (Mike) Marshall,Sameer Kanal,Jennifer Park,Debbie Kitchin
58979,Elana Pirtle-Guiney,Dan Ryan,Tiffani Penson,Michelle DePass,,
58980,Elana Pirtle-Guiney,Michael (Mike) Marshall,Michelle DePass,Tiffani Penson,Marnie Glickman,Dan Ryan
58981,Sameer Kanal,Tiffani Penson,Elana Pirtle-Guiney,Reuben Berlin,Marnie Glickman,Michelle DePass
58982,Michael (Mike) Marshall,Tiffani Penson,Marnie Glickman,Nat West,James Armstrong,Sameer Kanal
58983,Tiffani Penson,Michael (Mike) Marshall,Dan Ryan,,,
58984,Michael (Mike) Marshall,Tiffani Penson,Marnie Glickman,Nat West,James Armstrong,Sameer Kanal
58988,Sameer Kanal,Michelle DePass,,,,
58990,Dan Ryan,Bob Simril,Mariah Hudson,Michelle DePass,Tiffani Penson,
58992,Marnie Glickman,Elana Pirtle-Guiney,Jonathan Tasini,Sameer Kanal,Michelle DePass,
58994,Elana Pirtle-Guiney,Dan Ryan,Tiffani Penson,Michelle DePass,James Armstrong,Mariah Hudson
58996,Elana Pirtle-Guiney,Tiffani Penson,Reuben Berlin,Nabil Zaghloul,Michelle DePass,Michael (Mike) Marshall
58997,Nat West,Jonathan Tasini,Bob Simril,Mariah Hudson,,
58998,Elana Pirtle-Guiney,Dan Ryan,Michael (Mike) Marshall,Nat West,Michelle DePass,Antonio Jamal PettyJohnBlue
58999,Elana Pirtle-Guiney,Dan Ryan,Michelle DePass,James Armstrong,Michael (Mike) Marshall,Mariah Hudson
59000,Mariah Hudson,Nat West,Michelle DePass,Chris Olson,Elana Pirtle-Guiney,Jennifer Park
59001,Dan Ryan,Tiffani Penson,Elana Pirtle-Guiney,Michelle DePass,Michael (Mike) Marshall,
59003,Dan Ryan,Bob Simril,Nabil Zaghloul,Tiffani Penson,Mariah Hudson,Reuben Berlin
59004,Elana Pirtle-Guiney,Dan Ryan,Tiffani Penson,Mariah Hudson,,
59006,Nat West,Michelle DePass,Elana Pirtle-Guiney,,,
59007,Bob Simril,,,,,
59009,Elana Pirtle-Guiney,Dan Ryan,,,,
59010,Sameer Kanal,Dan Ryan,Michelle DePass,,,
59011,Nat West,Elana Pirtle-Guiney,Marnie Glickman,Mariah Hudson,Sameer Kanal,Michelle DePass
59021,Dan Ryan,,,,,
59028,Tiffani Penson,Dan Ryan,,,,
59031,Tiffani Penson,Jennifer Park,Elana Pirtle-Guiney,Sameer Kanal,Will Mespelt,Michael (Mike) Marshall
59032,Sameer Kanal,Mariah Hudson,Dan Ryan,,,
59033,Tiffani Penson,Elana Pirtle-Guiney,Michael (Mike) Marshall,Sameer Kanal,Marnie Glickman,Debbie Kitchin
59034,Nat West,Dan Ryan,Jonathan Tasini,Bob Simril,Laura Streib,Mariah Hudson
59035,Tiffani Penson,Liz Taylor,,,,
59036,Sameer Kanal,Elana Pirtle-Guiney,Laura Streib,Michael (Mike) Marshall,Marnie Glickman,Nat West
59037,Debbie Kitchin,Reuben Berlin,Tiffani Penson,Liz Taylor,Michael (Mike) Marshall,Mariah Hudson
59038,Tiffani Penson,Jennifer Park,Liz Taylor,Michelle DePass,Dan Ryan,Laura Streib
59039,Reuben Berlin,Michael (Mike) Marshall,Will Mespelt,,,
59043,Nat West,Dan Ryan,Michelle DePass,Jonathan Tasini,,
59049,Nat West,Michelle DePass,James Armstrong,Sameer Kanal,Jonathan Tasini,Mariah Hudson
59053,Sameer Kanal,Michelle DePass,Elana Pirtle-Guiney,Tiffani Penson,Nabil Zaghloul,Laura Streib
59054,Marnie Glickman,Elana Pirtle-Guiney,Mariah Hudson,Nabil Zaghloul,Liz Taylor,Sameer Kanal
59055,Sameer Kanal,Michelle DePass,Elana Pirtle-Guiney,Tiffani Penson,Nabil Zaghloul,Michael (Mike) Marshall
59056,Sameer Kanal,Nat West,Michelle DePass,Marnie Glickman,Debbie Kitchin,Elana Pirtle-Guiney
59057,Jonathan Tasini,Sameer Kanal,Michelle DePass,,,
59058,Sameer Kanal,Michelle DePass,Jonathan Tasini,Jennifer Park,Nat West,Marnie Glickman
59059,Jonathan Tasini,Nat West,Sameer Kanal,Michelle DePass,,
59060,Michelle DePass,Sameer Kanal,Tiffani Penson,Nat West,,
59062,Marnie Glickman,Nat West,James Armstrong,Bob Simril,Dan Ryan,
59063,Dan Ryan,Tiffani Penson,Elana Pirtle-Guiney,Michael (Mike) Marshall,,
59064,Tiffani Penson,Nat West,Mariah Hudson,Sameer Kanal,Elana Pirtle-Guiney,Michelle DePass
59065,Dan Ryan,Mariah Hudson,Tiffani Penson,Nat West,Michelle DePass,Marnie Glickman
59066,Nat West,Sameer Kanal,Michael (Mike) Marshall,Elana Pirtle-Guiney,Mariah Hudson,Tiffani Penson
59067,Michelle DePass,Elana Pirtle-Guiney,Nat West,,,
59068,Michelle DePass,Dan Ryan,,,,
59069,Sameer Kanal,Michelle DePass,,,,
59070,Nat West,,,,,
59071,Dan Ryan,Debbie Kitchin,Jonathan Tasini,Nat West,Bob Simril,Sameer Kanal
59087,Sameer Kanal,Michelle DePass,Tiffani Penson,Nat West,Marnie Glickman,Debbie Kitchin
59088,Dan Ryan,Michelle DePass,Marnie Glickman,Tiffani Penson,Elana Pirtle-Guiney,Jonathan Tasini
59089,Debbie Kitchin,Chris Olson,Tiffani Penson,Will Mespelt,James Armstrong,Liz Taylor
59090,Dan Ryan,Sam Sachs,Jonathan Tasini,Michael (Mike) Marshall,Will Mespelt,James Armstrong
59091,Jonathan Tasini,Michelle DePass,Sameer Kanal,Dan Ryan,Marnie Glickman,Elana Pirtle-Guiney
59107,Elana Pirtle-Guiney,Sam Sachs,Bob Simril,Laura Streib,Marnie Glickman,Mariah Hudson
59108,Dan Ryan,Elana Pirtle-Guiney,Michelle DePass,,,
59109,Dan Ryan,Nabil Zaghloul,Marnie Glickman,Sameer Kanal,Reuben Berlin,Elana Pirtle-Guiney
59110,Marnie Glickman,Sameer Kanal,Jonathan Tasini,Jennifer Park,Elana Pirtle-Guiney,Chris Olson
59111,Will Mespelt,Sameer Kanal,Michael (Mike) Marshall,Marnie Glickman,Bob Simril,James Armstrong
59113,Sameer Kanal,Michelle DePass,Jonathan Tasini,,,
59116,Dan Ryan,,,,,
59118,Dan Ryan,,,,,
59119,Debbie Kitchin,Tiffani Penson,Liz Taylor,Laura Streib,Chris Olson,Jennifer Park
59142,Sameer Kanal,Jennifer Park,Nabil Zaghloul,Marnie Glickman,Nat West,
59144,Liz Taylor,Tiffani Penson,Debbie Kitchin,,,
59145,Elana Pirtle-Guiney,Dan Ryan,James Armstrong,Mariah Hudson,Tiffani Penson,Michael (Mike) Marshall
59146,Nat West,Tiffani Penson,Michael (Mike) Marshall,Laura Streib,,
59147,Michael (Mike) Marshall,Michelle DePass,Sameer Kanal,Sam Sachs,Nabil Zaghloul,Marnie Glickman
59148,Dan Ryan,Michelle DePass,Elana Pirtle-Guiney,Mariah Hudson,Nat West,Jonathan Tasini
59149,James Armstrong,Liz Taylor,Jennifer Park,Elana Pirtle-Guiney,Marnie Glickman,Reuben Berlin
59150,Nat West,Tiffani Penson,Mariah Hudson,Dan Ryan,Sameer Kanal,Michael (Mike) Marshall
59151,Elana Pirtle-Guiney,Dan Ryan,Michelle DePass,James Armstrong,Michael (Mike) Marshall,Mariah Hudson
59152,Nat West,Sameer Kanal,Jonathan Tasini,,,
59153,Nat West,Michael (Mike) Marshall,,,,
59155,Nat West,Elana Pirtle-Guiney,Jonathan Tasini,Sameer Kanal,Nabil Zaghloul,Dan Ryan
59156,Elana Pirtle-Guiney,Dan Ryan,Michelle DePass,,,
59158,Elana Pirtle-Guiney,Dan Ryan,Write-in-123,James Armstrong,Michael (Mike) Marshall,Mariah Hudson
59159,Jennifer Park,Marnie Glickman,Tiffani Penson,Nat West,Sameer Kanal,Elana Pirtle-Guiney
59160,Laura Streib,,,,,
59161,Michelle DePass,Sameer Kanal,Jonathan Tasini,Nat West,Marnie Glickman,
59162,Elana Pirtle-Guiney,Jonathan Tasini,Nat West,Dan Ryan,Mariah Hudson,Michelle DePass
59163,Tiffani Penson,Nat West,Jonathan Tasini,Marnie Glickman,Michelle DePass,Sameer Kanal
59164,Tiffani Penson,Marnie Glickman,Elana Pirtle-Guiney,Nat West,Dan Ryan,Sameer Kanal
59165,Jonathan Tasini,Marnie Glickman,Nat West,Tiffani Penson,Dan Ryan,Nabil Zaghloul
59166,Tiffani Penson,Michael (Mike) Marshall,Sameer Kanal,Chris Olson,Jennifer Park,Elana Pirtle-Guiney
59167,Tiffani Penson,Jonathan Tasini,Nat West,Marnie Glickman,Sameer Kanal,Mariah Hudson
59168,Dan Ryan,Tiffani Penson,Nat West,,,
59169,Dan Ryan,Tiffani Penson,Nat West,,,
59170,Tiffani Penson,,,,,
59171,Marnie Glickman,Nat West,Elana Pirtle-Guiney,Sameer Kanal,Jonathan Tasini,Michelle DePass
59173,Sameer Kanal,Michelle DePass,Nat West,Marnie Glickman,Jennifer Park,Dan Ryan
59174,Sameer Kanal,Michelle DePass,Jennifer Park,Nat West,Jonathan Tasini,Marnie Glickman
59175,Marnie Glickman,Sameer Kanal,Michelle DePass,Jennifer Park,Jonathan Tasini,Nat West
59176,Michelle DePass,Sameer Kanal,Marnie Glickman,Liz Taylor,,
59177,Sameer Kanal,Jonathan Tasini,Jennifer Park,Chris Olson,Nat West,Marnie Glickman
59178,Sameer Kanal,Jonathan Tasini,Dan Ryan,Elana Pirtle-Guiney,Marnie Glickman,Michelle DePass
59179,Michelle DePass,Sameer Kanal,Tiffani Penson,Nat West,,
59180,Sameer Kanal,Michelle DePass,Tiffani Penson,Nat West,Elana Pirtle-Guiney,Jonathan Tasini
59181,Sameer Kanal,Dan Ryan,Jennifer Park,James Armstrong,Reuben Berlin,Marnie Glickman
59182,Bob Simril,,,,,
59183,Michelle DePass,Sameer Kanal,Tiffani Penson,Nat West,,
59184,Dan Ryan,Bob Simril,Tiffani Penson,James Armstrong,Nat West,
59185,Elana Pirtle-Guiney,Michelle DePass,Dan Ryan,Tiffani Penson,Michael (Mike) Marshall,Mariah Hudson
59186,James Armstrong,Elana Pirtle-Guiney,Dan Ryan,Michelle DePass,Tiffani Penson,Laura Streib
59187,Michelle DePass,Sameer Kanal,Debbie Kitchin,Marnie Glickman,Elana Pirtle-Guiney,
59188,Jennifer Park,,,,,
59189,Liz Taylor,Tiffani Penson,Debbie Kitchin,,,
59190,Elana Pirtle-Guiney,Dan Ryan,Marnie Glickman,,,
59191,Michelle DePass,Nat West,James Armstrong,Sameer Kanal,Jonathan Tasini,Mariah Hudson
59192,Elana Pirtle-Guiney,Mariah Hudson,Michelle DePass,Marnie Glickman,Liz Taylor,Jennifer Park
59193,Nat West,Sameer Kanal,Debbie Kitchin,Elana Pirtle-Guiney,Marnie Glickman,Michelle DePass
59194,Elana Pirtle-Guiney,Dan Ryan,James Armstrong,Michael (Mike) Marshall,Michelle DePass,Laura Streib
59195,Nat West,Sameer Kanal,Elana Pirtle-Guiney,Laura Streib,Jonathan Tasini,Nabil Zaghloul
59196,Bob Simril,,,,,
59199,Reuben Berlin,Marnie Glickman,James Armstrong,Tiffani Penson,Will Mespelt,Michael (Mike) Marshall
59203,Elana Pirtle-Guiney,Dan Ryan,Michelle DePass,James Armstrong,Michael (Mike) Marshall,Mariah Hudson
59204,Dan Ryan,Bob Simril,Tiffani Penson,Mariah Hudson,,
59205,Michelle DePass,Tiffani Penson,Nat West,Sameer Kanal,,
59206,Elana Pirtle-Guiney,Dan Ryan,Michelle DePass,,,
59207,Sameer Kanal,Michelle DePass,Jonathan Tasini,Marnie Glickman,Nat West,Elana Pirtle-Guiney
59208,Sameer Kanal,Marnie Glickman,Michael (Mike) Marshall,Jennifer Park,Elana Pirtle-Guiney,Nabil Zaghloul
59209,Jonathan Tasini,Sameer Kanal,Nat West,Dan Ryan,Marnie Glickman,Chris Olson
59210,Sameer Kanal,Mariah Hudson,Elana Pirtle-Guiney,Tiffani Penson,Jennifer Park,Nabil Zaghloul
59211,Chris Olson,Marnie Glickman,Jonathan Tasini,Sameer Kanal,Jennifer Park,Nat West
59212,Michael (Mike) Marshall,Chris Olson,Jonathan Tasini,Sam Sachs,Write-in-123,Write-in-124
59213,Jonathan Tasini,Michael (Mike) Marshall,Michelle DePass,Chris Olson,Marnie Glickman,Elana Pirtle-Guiney
59215,Elana Pirtle-Guiney,Michelle DePass,Tiffani Penson,Dan Ryan,Michael (Mike) Marshall,James Armstrong
59216,Debbie Kitchin,Sameer Kanal,Tiffani Penson,Marnie Glickman,Elana Pirtle-Guiney,Dan Ryan
59218,Marnie Glickman,Sameer Kanal,Michelle DePass,Debbie Kitchin,Jonathan Tasini,Nat West
59219,Dan Ryan,Tiffani Penson,Nat West,Michelle DePass,Elana Pirtle-Guiney,
59220,Elana Pirtle-Guiney,Dan Ryan,Michelle DePass,Mariah Hudson,James Armstrong,Michael (Mike) Marshall
59221,Elana Pirtle-Guiney,Dan Ryan,Jonathan Tasini,Michelle DePass,Mariah Hudson,James Armstrong
59222,Laura Streib,Chris Olson,Bob Simril,Sameer Kanal,James Armstrong,Mariah Hudson
59223,,,,,,
59226,Michelle DePass,Elana Pirtle-Guiney,Tiffani Penson,Dan Ryan,Sameer Kanal,Mariah Hudson
59227,Nat West,Tiffani Penson,Michelle DePass,Sameer Kanal,Elana Pirtle-Guiney,Mariah Hudson
59228,Elana Pirtle-Guiney,Sameer Kanal,Michelle DePass,Dan Ryan,Marnie Glickman,Nat West
59229,Tiffani Penson,Elana Pirtle-Guiney,Jennifer Park,Liz Taylor,Laura Streib,Sameer Kanal
59230,Michelle DePass,Dan Ryan,Tiffani Penson,,,
59231,Michelle DePass,Dan Ryan,Tiffani Penson,,,
59232,Nat West,Tiffani Penson,Michael (Mike) Marshall,Marnie Glickman,Sameer Kanal,Jonathan Tasini
59234,Chris Olson,Sameer Kanal,Marnie Glickman,Tiffani Penson,,
59235,Jennifer Park,Sameer Kanal,Marnie Glickman,Nat West,Tiffani Penson,
59236,Sam Sachs,Jonathan Tasini,Laura Streib,,,
59237,Nat West,Dan Ryan,,,,
59238,Elana Pirtle-Guiney,Jonathan Tasini,Sameer Kanal,Michelle DePass,,
59239,Dan Ryan,,,,,
59240,Dan Ryan,,,,,
59241,Jennifer Park,Sameer Kanal,Chris Olson,Jonathan Tasini,Marnie Glickman,Nat West
59242,Nat West,,,,,
59243,Laura Streib,James Armstrong,Sameer Kanal,Elana Pirtle-Guiney,Dan Ryan,Jonathan Tasini
59244,Nabil Zaghloul,Elana Pirtle-Guiney,Michelle DePass,Marnie Glickman,,
59245,Sameer Kanal,Chris Olson,Jennifer Park,Jonathan Tasini,Michael (Mike) Marshall,Nat West
59246,Michelle DePass,Sameer Kanal,Nat West,Marnie Glickman,Debbie Kitchin,Elana Pirtle-Guiney
59247,Sameer Kanal,Michelle DePass,Jonathan Tasini,Jennifer Park,Nat West,Marnie Glickman
59248,Nat West,Sam Sachs,Bob Simril,,,
59249,Dan Ryan,Sameer Kanal,Jonathan Tasini,Marnie Glickman,Sam Sachs,
59252,Tiffani Penson,Jennifer Park,,,,
59253,Sameer Kanal,Marnie Glickman,,,,
59254,Sameer Kanal,Marnie Glickman,Elana Pirtle-Guiney,Jennifer Park,Michael (Mike) Marshall,Jonathan Tasini
59255,Nat West,Elana Pirtle-Guiney,Tiffani Penson,Mariah Hudson,Laura Streib,Marnie Glickman
59256,Elana Pirtle-Guiney,Dan Ryan,Michelle DePass,James Armstrong,Michael (Mike) Marshall,Mariah Hudson
59257,Sameer Kanal,Jonathan Tasini,Jennifer Park,Michelle DePass,Nat West,Marnie Glickman
59258,Sameer Kanal,Chris Olson,Marnie Glickman,Tiffani Penson,Jennifer Park,Elana Pirtle-Guiney
59259,Sameer Kanal,Michelle DePass,Jonathan Tasini,,,
59260,Jennifer Park,Chris Olson,,,,
59261,Sameer Kanal,Michelle DePass,Jonathan Tasini,,,
59262,Sameer Kanal,Jonathan Tasini,Michelle DePass,Nat West,Marnie Glickman,Jennifer Park
59263,Sameer Kanal,,,,,
59264,Laura Streib,Dan Ryan,James Armstrong,Tiffani Penson,Michelle DePass,Mariah Hudson
59265,Elana Pirtle-Guiney,Michelle DePass,Dan Ryan,James Armstrong,Michael (Mike) Marshall,Mariah Hudson
59276,Tiffani Penson,Nat West,Mariah Hudson,Michelle DePass,Elana Pirtle-Guiney,Dan Ryan
59277,Dan Ryan,Mariah Hudson,,,,
59282,Tiffani Penson,Michelle DePass,Bob Simril,,,
59297,Dan Ryan,Nat West,Laura Streib,,,
59305,Elana Pirtle-Guiney,Dan Ryan,Michelle DePass,,,
59306,Nat West,Chris Olson,Nabil Zaghloul,Laura Streib,,
59308,Nat West,Tiffani Penson,Nabil Zaghloul,Sameer Kanal,Debbie Kitchin,Reuben Berlin
59309,Dan Ryan,,,,,
59310,Dan Ryan,James Armstrong,Chris Olson,,,
59314,Nat West,Jonathan Tasini,,,,
59320,Tiffani Penson,Liz Taylor,Mariah Hudson,Jonathan Tasini,Elana Pirtle-Guiney,Marnie Glickman
59326,Nat West,Dan Ryan,Debbie Kitchin,Will Mespelt,,
59327,Elana Pirtle-Guiney,Dan Ryan,Michelle DePass,,,
59328,Dan Ryan,Tiffani Penson,Nat West,,,
59329,Elana Pirtle-Guiney,James Armstrong,Michelle DePass,Mariah Hudson,Tiffani Penson,
59330,Elana Pirtle-Guiney,Dan Ryan,Michelle DePass,,,
59331,Tiffani Penson,Will Mespelt,Michael (Mike) Marshall,,,
59332,Dan Ryan,Michelle DePass,Debbie Kitchin,Marnie Glickman,Elana Pirtle-Guiney,Tiffani Penson
59333,Michelle DePass,Sameer Kanal,Nat West,,,
59334,Elana Pirtle-Guiney,,,,,
59335,Dan Ryan,Tiffani Penson,Jonathan Tasini,Mariah Hudson,Laura Streib,
59343,Michelle DePass,Dan Ryan,Debbie Kitchin,Elana Pirtle-Guiney,Tiffani Penson,Nat West
59346,Elana Pirtle-Guiney,Nat West,Jonathan Tasini,,,
59360,Sameer Kanal,Jennifer Park,Elana Pirtle-Guiney,Laura Streib,Marnie Glickman,Chris Olson
59361,Jonathan Tasini,Marnie Glickman,Tiffani Penson,Michelle DePass,Dan Ryan,
59362,Michelle DePass,Elana Pirtle-Guiney,Jonathan Tasini,Sameer Kanal,Dan Ryan,Marnie Glickman
59365,Michelle DePass,Mariah Hudson,Nat West,,,
59367,Dan Ryan,Bob Simril,Tiffani Penson,Sameer Kanal,Debbie Kitchin,Will Mespelt
59368,Dan Ryan,Elana Pirtle-Guiney,Michelle DePass,James Armstrong,Michael (Mike) Marshall,Mariah Hudson
59369,Nat West,Jonathan Tasini,,,,
59372,Nat West,Dan Ryan,Michelle DePass,Mariah Hudson,Tiffani Penson,Bob Simril
59373,Reuben Berlin,Dan Ryan,Sameer Kanal,Antonio Jamal PettyJohnBlue,Bob Simril,
59380,Elana Pirtle-Guiney,,,,,
59383,Marnie Glickman,Debbie Kitchin,Sameer Kanal,Nat West,Elana Pirtle-Guiney,
59384,Tiffani Penson,Elana Pirtle-Guiney,Bob Simril,Mariah Hudson,Nabil Zaghloul,Nat West
59385,Nat West,Dan Ryan,Mariah Hudson,Reuben Berlin,James Armstrong,Tiffani Penson
59389,Tiffani Penson,Dan Ryan,Bob Simril,,,
59393,Marnie Glickman,Sameer Kanal,Mariah Hudson,Michael (Mike) Marshall,James Armstrong,Dan Ryan
59396,Elana Pirtle-Guiney,Mariah Hudson,Sameer Kanal,,,
59397,Jonathan Tasini,Nat West,,,,
